product_class,Month,sales_volume
C1029,4/1/2017,98
C1029,5/1/2017,48
C1029,6/1/2017,170
C1029,7/1/2017,846
C1030,1/1/2013,29936
C1030,2/1/2013,30498
C1030,3/1/2013,36473
C1030,4/1/2013,36490
C1030,5/1/2013,44793
C1030,6/1/2013,40171
C1030,7/1/2013,40309
C1030,8/1/2013,39592
C1030,9/1/2013,35353
C1030,10/1/2013,38246
C1030,11/1/2013,51363
C1030,12/1/2013,392282
C1030,1/1/2014,62031
C1030,2/1/2014,30974
C1030,3/1/2014,64684
C1030,4/1/2014,35584
C1030,5/1/2014,41729
C1030,6/1/2014,39602
C1030,7/1/2014,69101
C1030,8/1/2014,48701
C1030,9/1/2014,57554
C1030,10/1/2014,63712
C1030,11/1/2014,85839
C1030,12/1/2014,502580
C1030,1/1/2015,62733
C1030,2/1/2015,67506
C1030,3/1/2015,76903
C1030,4/1/2015,81023
C1030,5/1/2015,93079
C1030,6/1/2015,85190
C1030,7/1/2015,92194
C1030,8/1/2015,91286
C1030,9/1/2015,80956
C1030,10/1/2015,96175
C1030,11/1/2015,112914
C1030,12/1/2015,490547
C1030,1/1/2016,70601
C1030,2/1/2016,76942
C1030,3/1/2016,81738
